rental_id,inventory_id,rental_date,return_date,game_id,customer_id,staff_id,price,fine
1,429,2021-01-04,2021-01-05,13,106,1,31.93,0.0
2,91,2021-01-04,2021-01-04,39,241,1,2.47,0.0
3,434,2021-01-04,2021-03-30,1,362,1,10.97,20.84
4,127,2021-01-04,2021-01-15,50,456,1,8.88,3.55
5,57,2021-01-04,2021-01-05,6,106,1,7.95,0.0
6,280,2021-01-04,2021-01-16,13,106,1,31.93,15.96
7,77,2021-01-04,2021-01-14,27,184,1,5.0,1.5
8,194,2021-01-04,2021-01-05,32,518,1,7.71,0.0
9,399,2021-01-04,2021-01-06,32,241,1,7.71,0.0
10,27,2021-01-04,2021-01-11,22,184,1,14.6,0.0
11,65,2021-01-04,2021-01-04,9,241,1,27.33,0.0
12,197,2021-01-06,2021-01-12,1,184,1,10.97,0.0
13,375,2021-01-07,2021-01-20,36,70,1,12.35,7.41
14,285,2021-01-07,2021-01-17,35,266,1,10.84,3.25
15,123,2021-01-08,2021-01-26,11,342,1,3.99,4.39
16,139,2021-01-08,2021-01-15,36,183,1,12.35,0.0
17,424,2021-01-10,2021-01-23,6,362,1,7.95,4.77
18,130,2021-01-10,2021-01-10,10,362,1,17.99,0.0
19,249,2021-01-11,2021-09-04,13,263,1,31.93,54.28
20,246,2021-01-11,2021-01-11,44,241,1,5.33,0.0
21,68,2021-01-11,2021-01-12,38,285,1,15.99,0.0
22,76,2021-01-11,2021-01-20,13,593,1,31.93,6.39
23,27,2021-01-11,2021-01-15,22,456,1,14.6,0.0
24,323,2021-01-11,2021-01-16,44,571,1,5.33,0.0
25,465,2021-01-12,2021-01-21,36,587,1,12.35,2.47
26,336,2021-01-12,2021-01-12,13,106,1,31.93,0.0
27,296,2021-01-14,2021-01-27,1,196,1,10.97,6.58
28,383,2021-01-14,2021-01-18,10,241,1,17.99,0.0
29,416,2021-01-14,2021-01-21,19,241,1,13.33,0.0
30,326,2021-01-14,2021-01-14,4,440,1,11.35,0.0
31,298,2021-01-14,2021-01-24,19,176,1,13.33,4.0
32,158,2021-01-14,2021-01-20,32,563,1,7.71,0.0
33,451,2021-01-14,2021-01-23,4,263,1,11.35,2.27
34,148,2021-01-14,2021-01-15,46,245,1,1.71,0.0
35,134,2021-01-14,2021-01-21,29,176,1,19.27,0.0
36,295,2021-01-14,2021-01-17,26,587,1,23.33,0.0
