inventory_id,game_id,price
1,29,19.27
2,4,11.35
3,32,7.71
4,3,10.58
5,29,19.27
6,27,5.0
7,27,5.0
8,33,10.6
9,35,10.84
10,39,2.47
11,35,10.84
12,21,43.33
13,1,10.97
14,22,14.6
15,19,13.33
16,40,6.87
17,22,14.6
18,39,2.47
19,39,2.47
20,37,3.1
21,22,14.6
22,13,31.93
23,44,5.33
24,1,10.97
25,26,23.33
26,1,10.97
27,39,2.47
28,7,12.17
29,22,14.6
30,27,5.0
31,28,8.67
32,27,5.0
33,10,17.99
34,44,5.33
35,46,1.71
36,4,11.35
37,32,7.71
38,13,31.93
39,32,7.71
40,22,14.6
41,7,12.17
42,22,14.6
43,10,17.99
44,29,19.27
45,40,6.87
46,22,14.6
47,1,10.97
48,4,11.35
49,19,13.33
50,41,1.92
51,29,19.27
52,40,6.87
53,23,1.7
54,19,13.33
55,36,12.35
56,48,12.0
57,14,11.27
58,4,11.35
59,40,6.87
60,32,7.71
61,22,14.6
62,13,31.93
63,6,7.95
64,19,13.33
65,34,1.87
66,32,7.71
67,26,23.33
68,1,10.97
69,22,14.6
70,22,14.6
71,43,3.78
72,1,10.97
73,44,5.33
74,4,11.35
75,44,5.33
76,4,11.35
77,32,7.71
78,13,31.93
79,17,2.66
80,27,5.0
81,36,12.35
82,33,10.6
83,19,13.33
84,3,10.58
85,3,10.58
86,29,19.27
87,32,7.71
88,35,10.84
89,40,6.87
90,19,13.33
91,4,11.35
92,6,7.95
93,45,7.86
94,19,13.33
95,29,19.27
96,13,31.93
97,26,23.33
98,13,31.93
99,10,17.99
100,6,7.95
101,22,14.6
102,1,10.97
103,19,13.33
104,26,23.33
105,25,3.77
106,19,13.33
107,40,6.87
108,39,2.47
109,37,3.1
110,29,19.27
111,39,2.47
112,13,31.93
113,29,19.27
114,13,31.93
115,46,1.71
116,13,31.93
117,5,9.33
118,1,10.97
119,39,2.47
120,48,12.0
121,24,12.58
122,4,11.35
123,12,11.33
124,26,23.33
125,13,31.93
126,1,10.97
127,10,17.99
128,27,5.0
129,13,31.93
130,13,31.93
131,13,31.93
132,29,19.27
133,29,19.27
134,22,14.6
135,4,11.35
136,6,7.95
137,40,6.87
138,22,14.6
139,13,31.93
140,22,14.6
141,6,7.95
142,32,7.71
143,39,2.47
144,21,43.33
145,13,31.93
146,27,5.0
147,35,10.84
148,13,31.93
149,24,12.58
150,39,2.47
151,13,31.93
152,6,7.95
153,18,4.17
154,13,31.93
155,36,12.35
156,2,4.33
157,26,23.33
158,12,11.33
159,32,7.71
160,27,5.0
161,19,13.33
162,22,14.6
163,37,3.1
164,27,5.0
165,7,12.17
166,29,19.27
167,39,2.47
168,29,19.27
169,47,1.11
170,39,2.47
171,26,23.33
172,13,31.93
173,27,5.0
174,45,7.86
175,35,10.84
176,13,31.93
177,3,10.58
178,32,7.71
179,27,5.0
180,29,19.27
181,38,15.99
182,24,12.58
183,13,31.93
184,39,2.47
185,21,43.33
186,42,8.0
187,4,11.35
188,19,13.33
189,1,10.97
190,13,31.93
191,22,14.6
192,32,7.71
193,39,2.47
194,22,14.6
195,1,10.97
196,38,15.99
197,32,7.71
198,35,10.84
199,6,7.95
200,4,11.35
201,44,5.33
202,26,23.33
203,44,5.33
204,33,10.6
205,13,31.93
206,35,10.84
207,13,31.93
208,29,19.27
209,13,31.93
210,13,31.93
211,35,10.84
212,27,5.0
213,38,15.99
214,22,14.6
215,6,7.95
216,34,1.87
217,32,7.71
218,44,5.33
219,48,12.0
220,13,31.93
221,24,12.58
222,33,10.6
223,32,7.71
224,3,10.58
225,22,14.6
226,42,8.0
227,4,11.35
228,13,31.93
229,26,23.33
230,39,2.47
231,39,2.47
232,35,10.84
233,29,19.27
234,1,10.97
235,39,2.47
236,39,2.47
237,13,31.93
238,19,13.33
239,22,14.6
240,40,6.87
241,19,13.33
242,4,11.35
243,1,10.97
244,10,17.99
245,13,31.93
246,13,31.93
247,24,12.58
248,13,31.93
249,46,1.71
250,40,6.87
251,13,31.93
252,13,31.93
253,10,17.99
254,32,7.71
255,13,31.93
256,42,8.0
257,33,10.6
258,36,12.35
259,9,27.33
260,32,7.71
261,24,12.58
262,27,5.0
263,1,10.97
264,10,17.99
265,1,10.97
266,13,31.93
267,13,31.93
268,13,31.93
269,19,13.33
270,22,14.6
271,22,14.6
272,35,10.84
273,22,14.6
274,19,13.33
275,13,31.93
276,36,12.35
277,13,31.93
278,10,17.99
279,28,8.67
280,32,7.71
281,40,6.87
282,13,31.93
283,13,31.93
284,32,7.71
285,27,5.0
286,24,12.58
287,36,12.35
288,22,14.6
289,13,31.93
290,35,10.84
291,8,11.99
292,8,11.99
293,13,31.93
294,4,11.35
295,13,31.93
296,32,7.71
297,36,12.35
298,5,9.33
299,36,12.35
300,4,11.35
301,38,15.99
302,3,10.58
303,24,12.58
304,22,14.6
305,27,5.0
306,35,10.84
307,4,11.35
308,13,31.93
309,29,19.27
310,24,12.58
311,1,10.97
312,29,19.27
313,33,10.6
314,10,17.99
315,4,11.35
316,39,2.47
317,24,12.58
318,32,7.71
319,13,31.93
320,14,11.27
321,30,18.52
322,13,31.93
323,36,12.35
324,32,7.71
325,7,12.17
326,36,12.35
327,7,12.17
328,42,8.0
329,31,8.0
330,16,6.67
331,29,19.27
332,24,12.58
333,1,10.97
334,7,12.17
335,29,19.27
336,8,11.99
337,1,10.97
338,46,1.71
339,32,7.71
340,36,12.35
341,31,8.0
342,35,10.84
343,49,7.71
344,36,12.35
345,29,19.27
346,6,7.95
347,27,5.0
348,3,10.58
349,29,19.27
350,32,7.71
351,13,31.93
352,1,10.97
353,32,7.71
354,29,19.27
355,27,5.0
356,23,1.7
357,6,7.95
358,32,7.71
359,3,10.58
360,1,10.97
361,27,5.0
362,5,9.33
363,25,3.77
364,39,2.47
365,6,7.95
366,19,13.33
367,3,10.58
368,1,10.97
369,13,31.93
370,39,2.47
371,35,10.84
372,22,14.6
373,38,15.99
374,49,7.71
375,29,19.27
376,27,5.0
377,36,12.35
378,19,13.33
379,48,12.0
380,29,19.27
381,1,10.97
382,13,31.93
383,35,10.84
384,4,11.35
385,19,13.33
386,13,31.93
387,13,31.93
388,13,31.93
389,5,9.33
390,13,31.93
391,32,7.71
392,26,23.33
393,5,9.33
394,39,2.47
395,7,12.17
396,6,7.95
397,31,8.0
398,29,19.27
399,40,6.87
400,22,14.6
401,35,10.84
402,1,10.97
403,37,3.1
404,34,1.87
405,46,1.71
406,36,12.35
407,27,5.0
408,13,31.93
409,13,31.93
410,13,31.93
411,4,11.35
412,45,7.86
413,5,9.33
414,33,10.6
415,38,15.99
416,13,31.93
417,44,5.33
418,6,7.95
419,13,31.93
420,17,2.66
421,4,11.35
422,35,10.84
423,11,3.99
424,40,6.87
425,35,10.84
426,19,13.33
427,13,31.93
428,13,31.93
429,27,5.0
430,37,3.1
431,11,3.99
432,22,14.6
433,7,12.17
434,32,7.71
435,13,31.93
436,40,6.87
437,35,10.84
438,13,31.93
439,18,4.17
440,4,11.35
441,4,11.35
442,1,10.97
443,24,12.58
444,27,5.0
445,4,11.35
446,22,14.6
447,6,7.95
448,22,14.6
449,22,14.6
450,33,10.6
451,13,31.93
452,35,10.84
453,29,19.27
454,29,19.27
455,8,11.99
456,21,43.33
457,46,1.71
458,13,31.93
459,1,10.97
460,50,8.88
461,19,13.33
462,1,10.97
463,26,23.33
464,16,6.67
465,22,14.6
466,37,3.1
467,1,10.97
468,13,31.93
469,22,14.6
470,50,8.88
471,32,7.71
472,27,5.0
473,7,12.17
474,39,2.47
475,7,12.17
476,32,7.71
477,3,10.58
478,46,1.71
479,13,31.93
480,42,8.0
481,10,17.99
482,9,27.33
483,32,7.71
484,32,7.71
485,47,1.11
486,42,8.0
487,22,14.6
488,13,31.93
489,26,23.33
490,35,10.84
491,11,3.99
492,1,10.97
493,42,8.0
494,1,10.97
495,16,6.67
496,7,12.17
497,13,31.93
498,27,5.0
499,35,10.84
500,25,3.77
