,rental_id,inventory_id,rental_date,return_date,game_id,customer_id,staff_id,price,fine
13650,1,335,2021-01-04,2021-01-04,1,494,1,10.97,0.0
14816,2,364,2021-01-04,2021-01-04,32,282,1,7.71,0.0
1373,3,34,2021-01-04,2021-01-07,1,285,1,10.97,0.0
8903,4,221,2021-01-04,2021-01-12,39,285,1,2.47,0.25
1771,5,44,2021-01-04,2022-10-02,13,453,1,31.93,67.05
14318,6,352,2021-01-05,2021-01-13,34,453,1,1.87,0.19
1740,7,43,2021-01-06,2021-01-08,33,217,1,10.6,0.0
484,8,13,2021-01-06,2021-01-13,46,34,1,1.71,0.0
640,9,17,2021-01-07,2021-01-10,33,572,1,10.6,0.0
19959,10,490,2021-01-07,2021-01-07,22,217,1,14.6,0.0
19190,11,472,2021-01-08,2021-03-18,38,45,1,15.99,4.8
2446,12,60,2021-01-08,2021-01-10,33,357,1,10.6,0.0
13464,13,330,2021-01-09,2021-03-01,10,520,1,17.99,23.39
16121,14,396,2021-01-09,2021-01-10,9,82,1,27.33,0.0
11534,15,283,2021-01-09,2021-01-10,22,453,1,14.6,0.0
2694,16,66,2021-01-10,2021-01-12,6,34,1,7.95,0.0
5693,17,141,2021-01-10,2021-01-14,42,522,1,8.0,0.0
13858,18,340,2021-01-10,2021-01-12,10,515,1,17.99,0.0
14772,19,363,2021-01-11,2021-01-18,40,486,1,6.87,0.0
4754,20,117,2021-01-11,2021-01-17,40,494,1,6.87,0.0
12342,21,303,2021-01-11,2021-01-13,26,64,1,23.33,0.0
9055,22,225,2021-01-12,2021-01-15,6,285,1,7.95,0.0
176,23,5,2021-01-12,2021-02-25,42,531,1,8.0,4.8
17654,24,435,2021-01-12,2021-01-13,42,446,1,8.0,0.0
12659,25,310,2021-01-12,2021-01-18,7,522,1,12.17,0.0
10332,26,255,2021-01-14,2021-01-19,13,421,1,31.93,0.0
10237,27,253,2021-01-14,2021-01-22,13,531,1,31.93,3.19
16965,28,418,2021-01-14,2021-01-15,3,331,1,10.58,0.0
9144,29,227,2021-01-14,2021-01-19,50,217,1,8.88,0.0
9531,30,236,2021-01-14,2021-01-18,44,217,1,5.33,0.0
10644,31,262,2021-01-14,2021-01-31,4,467,1,11.35,11.35
12818,32,314,2021-01-14,2021-01-25,1,170,1,10.97,4.39
10765,33,265,2021-01-14,2021-01-21,42,170,1,8.0,0.0
11878,34,291,2021-01-14,2021-01-14,22,523,1,14.6,0.0
8244,35,205,2021-01-14,2021-01-21,28,344,1,8.67,0.0
13418,36,329,2021-01-14,2021-01-19,10,486,1,17.99,0.0
13816,37,339,2021-01-14,2021-01-18,19,269,1,13.33,0.0
15840,38,389,2021-01-14,2021-01-18,10,344,1,17.99,0.0
14500,39,356,2021-01-14,2021-01-22,2,474,1,4.33,0.43
14622,40,359,2021-01-14,2021-01-27,7,336,1,12.17,7.3
16663,41,411,2021-01-14,2021-01-17,13,170,1,31.93,0.0
8085,42,200,2021-01-14,2021-01-17,1,55,1,10.97,0.0
15342,43,377,2021-01-14,2021-01-20,19,285,1,13.33,0.0
19418,44,477,2021-01-14,2021-01-21,32,575,1,7.71,0.0
3252,45,80,2021-01-14,2021-01-19,32,344,1,7.71,0.0
18436,46,453,2021-01-14,2021-01-21,19,565,1,13.33,0.0
3212,47,79,2021-01-14,2021-01-16,42,357,1,8.0,0.0
18641,48,458,2021-01-14,2021-01-17,36,322,1,12.35,0.0
5655,49,140,2021-01-14,2021-01-14,5,474,1,9.33,0.0
1699,50,42,2021-01-14,2021-02-23,26,453,1,23.33,4.67
5855,51,145,2021-01-14,2021-01-21,10,170,1,17.99,0.0
6637,52,165,2021-01-14,2021-01-14,5,552,1,9.33,0.0
6518,53,161,2021-01-14,2021-01-17,7,344,1,12.17,0.0
7208,54,179,2021-01-14,2021-01-19,13,365,1,31.93,0.0
