,rental_id,inventory_id,rental_date,return_date,game_id,customer_id,staff_id,price,fine
11460,1,278,2021-01-04,2021-02-23,46,476,1,1.71,2.05
9763,2,237,2021-01-04,2021-01-11,32,584,1,7.71,0.0
3700,3,91,2021-01-04,2021-01-31,13,25,1,31.93,63.86
19857,4,482,2021-01-04,2021-01-04,13,583,1,31.93,0.0
9200,5,224,2021-01-04,2021-01-04,32,533,1,7.71,0.0
3878,6,96,2021-01-04,2021-01-06,13,583,1,31.93,0.0
1477,7,36,2021-01-04,2021-01-08,44,476,1,5.33,0.0
12097,8,294,2021-01-04,2021-01-17,13,319,1,31.93,19.16
8934,9,217,2021-01-04,2021-01-08,13,583,1,31.93,0.0
1992,10,48,2021-01-04,2021-01-09,33,178,1,10.6,0.0
18997,11,461,2021-01-05,2021-01-07,22,324,1,14.6,0.0
13763,12,334,2021-01-06,2021-01-06,28,324,1,8.67,0.0
5785,13,142,2021-01-06,2021-01-11,13,381,1,31.93,0.0
5118,14,126,2021-01-06,2021-01-09,7,521,1,12.17,0.0
9139,15,222,2021-01-08,2021-01-14,27,499,1,5.0,0.0
12297,16,299,2021-01-08,2021-01-11,29,307,1,19.27,0.0
3840,17,95,2021-01-09,2021-01-12,48,241,1,12.0,0.0
14565,18,354,2021-01-09,2021-01-14,29,352,1,19.27,0.0
8457,19,206,2021-01-09,2021-01-14,5,352,1,9.33,0.0
5119,20,126,2021-01-09,2021-01-09,7,10,1,12.17,0.0
998,21,25,2021-01-09,2021-01-11,13,533,1,31.93,0.0
11252,22,273,2021-01-11,2021-01-21,19,521,1,13.33,4.0
16014,23,389,2021-01-11,2021-01-22,37,57,1,3.1,1.24
7460,24,182,2021-01-11,2021-02-01,36,75,1,12.35,17.29
9367,25,228,2021-01-12,2021-01-20,24,514,1,12.58,1.26
17813,26,431,2021-01-12,2021-02-06,22,324,1,14.6,26.28
3737,27,92,2021-01-12,2021-01-17,1,319,1,10.97,0.0
18917,28,459,2021-01-14,2021-01-27,38,209,1,15.99,9.59
3621,29,89,2021-01-14,2021-01-14,25,122,1,3.77,0.0
4767,30,118,2021-01-14,2021-01-25,35,344,1,10.84,4.34
11348,31,275,2021-01-14,2021-01-17,1,319,1,10.97,0.0
2994,32,73,2021-01-14,2021-01-18,40,555,1,6.87,0.0
2926,33,71,2021-01-14,2021-01-25,1,170,1,10.97,4.39
19584,34,476,2021-01-14,2021-01-21,42,499,1,8.0,0.0
14524,35,353,2021-01-14,2021-01-21,25,208,1,3.77,0.0
10836,36,263,2021-01-14,2021-01-22,32,75,1,7.71,0.77
10931,37,265,2021-01-14,2021-01-16,23,236,1,1.7,0.0
4536,38,113,2021-01-14,2021-01-22,22,33,1,14.6,1.46
9074,39,220,2021-01-14,2021-01-16,13,344,1,31.93,0.0
11106,40,269,2021-01-14,2021-01-19,32,423,1,7.71,0.0
9115,41,221,2021-01-14,2021-01-20,13,178,1,31.93,0.0
4386,42,109,2021-01-14,2021-01-15,5,178,1,9.33,0.0
15590,43,378,2021-01-14,2021-01-20,5,584,1,9.33,0.0
4110,44,102,2021-01-14,2021-01-14,1,498,1,10.97,0.0
3313,45,81,2021-01-14,2021-01-14,8,307,1,11.99,0.0
19997,46,485,2021-01-14,2021-01-14,40,531,1,6.87,0.0
13449,47,327,2021-01-14,2021-02-04,3,122,1,10.58,14.81
1308,48,32,2021-01-14,2021-01-22,27,122,1,5.0,0.5
12261,49,298,2021-01-14,2021-01-15,22,170,1,14.6,0.0
1657,50,40,2021-01-14,2021-01-16,39,57,1,2.47,0.0
1260,51,31,2021-01-14,2021-01-14,29,324,1,19.27,0.0
7740,52,189,2021-01-14,2021-01-21,46,309,1,1.71,0.0
1865,53,45,2021-01-14,2021-01-15,39,46,1,2.47,0.0
12654,54,308,2021-01-14,2021-01-14,22,499,1,14.6,0.0
12338,55,300,2021-01-14,2021-01-27,8,537,1,11.99,7.19
11796,56,286,2021-01-14,2021-01-16,6,348,1,7.95,0.0
742,57,19,2021-01-14,2021-01-15,22,46,1,14.6,0.0
6594,58,162,2021-01-14,2021-01-21,16,583,1,6.67,0.0
6501,59,159,2021-01-14,2021-01-18,33,499,1,10.6,0.0
1182,60,29,2021-01-14,2021-01-14,24,68,1,12.58,0.0
15332,61,372,2021-01-15,2021-01-18,49,319,1,7.71,0.0
15431,62,374,2021-01-15,2021-01-15,27,521,1,5.0,0.0
17691,63,428,2021-01-15,2021-01-23,24,499,1,12.58,1.26
15279,64,371,2021-01-15,2021-01-18,48,521,1,12.0,0.0
15023,65,365,2021-01-15,2021-01-20,6,190,1,7.95,0.0
17251,66,418,2021-01-15,2021-01-23,19,584,1,13.33,1.33
5036,67,124,2021-01-15,2021-01-15,10,175,1,17.99,0.0
9326,68,227,2021-01-15,2021-05-04,10,476,1,17.99,21.59
16729,69,405,2021-01-15,2021-01-16,18,322,1,4.17,0.0
16146,70,392,2021-01-15,2021-01-15,1,381,1,10.97,0.0
17849,71,432,2021-01-15,2021-01-15,27,423,1,5.0,0.0
7615,72,186,2021-01-15,2021-01-31,40,352,1,6.87,6.18
17898,73,433,2021-01-15,2021-01-15,40,233,1,6.87,0.0
5540,74,136,2021-01-15,2021-01-16,28,533,1,8.67,0.0
16394,75,398,2021-01-15,2021-01-20,40,233,1,6.87,0.0
8837,76,215,2021-01-15,2021-01-15,4,510,1,11.35,0.0
18294,77,443,2021-01-15,2021-01-22,29,534,1,19.27,0.0
16226,78,394,2021-01-15,2021-01-21,7,209,1,12.17,0.0
5254,79,129,2021-01-15,2021-01-15,49,122,1,7.71,0.0
5204,80,128,2021-01-15,2021-01-19,15,324,1,2.83,0.0
5162,81,127,2021-01-15,2021-01-20,35,122,1,10.84,0.0
17773,82,430,2021-01-15,2021-02-13,1,209,1,10.97,24.13
10102,83,245,2021-01-15,2021-01-18,25,491,1,3.77,0.0
6215,84,152,2021-01-15,2021-01-18,27,190,1,5.0,0.0
19630,85,477,2021-01-15,2021-01-20,33,75,1,10.6,0.0
