,rental_id,inventory_id,rental_date,return_date,game_id,customer_id,staff_id,price,fine
6674,1,167,2021-01-04,2021-01-06,35,167,1,10.84,0.0
18503,2,451,2021-01-04,2021-01-04,19,289,1,13.33,0.0
13403,3,328,2021-01-04,2021-01-04,32,503,1,7.71,0.0
18592,4,453,2021-01-04,2021-01-10,19,243,1,13.33,0.0
9683,5,238,2021-01-04,2021-01-11,13,305,1,31.93,0.0
18748,6,457,2021-01-04,2021-01-16,32,382,1,7.71,3.86
20477,7,498,2021-01-04,2021-01-04,34,430,1,1.87,0.0
10997,8,269,2021-01-05,2021-01-07,39,243,1,2.47,0.0
8702,9,214,2021-01-06,2021-01-08,1,62,1,10.97,0.0
15951,10,388,2021-01-07,2021-01-07,32,382,1,7.71,0.0
12609,11,308,2021-01-07,2021-01-08,29,267,1,19.27,0.0
13442,12,329,2021-01-07,2021-02-06,10,87,1,17.99,41.38
13627,13,333,2021-01-08,2021-01-31,24,167,1,12.58,20.13
1043,14,27,2021-01-08,2021-01-11,37,243,1,3.1,0.0
11365,15,278,2021-01-08,2021-01-24,6,62,1,7.95,7.16
17102,16,417,2021-01-08,2021-01-09,33,243,1,10.6,0.0
2615,17,66,2021-01-09,2021-01-10,6,3,1,7.95,0.0
18909,18,461,2021-01-09,2021-01-09,13,198,1,31.93,0.0
5160,19,130,2021-01-10,2021-01-11,13,3,1,31.93,0.0
12177,20,298,2021-01-11,2021-02-08,35,479,1,10.84,22.76
15342,21,372,2021-01-14,2021-01-26,39,267,1,2.47,1.24
7060,22,176,2021-01-14,2021-01-19,44,267,1,5.33,0.0
13319,23,326,2021-01-14,2021-01-15,13,298,1,31.93,0.0
7706,24,192,2021-01-14,2021-01-24,26,298,1,23.33,7.0
13954,25,340,2021-01-14,2021-01-15,10,571,1,17.99,0.0
4697,26,118,2021-01-14,2021-01-14,44,430,1,5.33,0.0
4316,27,109,2021-01-14,2021-01-26,25,473,1,3.77,1.88
18028,28,440,2021-01-14,2021-03-16,3,87,1,10.58,0.0
14963,29,363,2021-01-14,2021-01-16,40,339,1,6.87,0.0
19580,30,477,2021-01-14,2021-01-26,32,359,1,7.71,3.86
7883,31,196,2021-01-14,2021-01-22,39,108,1,2.47,0.25
6715,32,168,2021-01-14,2021-01-19,1,556,1,10.97,0.0
3567,33,91,2021-01-14,2021-01-25,22,382,1,14.6,5.84
169,34,5,2021-01-14,2021-01-17,42,431,1,8.0,0.0
5963,35,149,2021-01-14,2021-01-25,24,198,1,12.58,5.03
3095,36,79,2021-01-14,2021-01-19,42,493,1,8.0,0.0
13521,37,331,2021-01-14,2021-01-24,13,143,1,31.93,9.58
15857,38,386,2021-01-14,2021-01-14,30,41,1,18.52,0.0
17844,39,435,2021-01-14,2021-01-20,42,154,1,8.0,0.0
2126,40,54,2021-01-14,2021-01-21,1,267,1,10.97,0.0
16773,41,409,2021-01-14,2021-01-23,22,494,1,14.6,2.92
10436,42,256,2021-01-14,2021-01-21,28,114,1,8.67,0.0
13863,43,338,2021-01-14,2021-01-18,4,15,1,11.35,0.0
15294,44,371,2021-01-14,2021-01-14,42,41,1,8.0,0.0
10147,45,249,2021-01-14,2021-01-25,13,41,1,31.93,12.77
16286,46,397,2021-01-14,2021-01-22,22,147,1,14.6,1.46
12652,47,309,2021-01-14,2021-01-22,1,154,1,10.97,1.1
5589,48,140,2021-01-14,2021-01-20,5,599,1,9.33,0.0
3236,49,83,2021-01-14,2021-01-15,6,127,1,7.95,0.0
3706,50,94,2021-01-14,2021-01-16,25,167,1,3.77,0.0
9458,51,232,2021-01-14,2021-01-25,4,15,1,11.35,4.54
9299,52,228,2021-01-14,2021-01-18,2,473,1,4.33,0.0
9185,53,225,2021-01-14,2021-01-19,6,127,1,7.95,0.0
17462,54,426,2021-01-14,2021-01-24,19,289,1,13.33,4.0
9003,55,221,2021-01-14,2021-02-09,39,556,1,2.47,4.69
3275,56,84,2021-01-14,2021-01-14,37,62,1,3.1,0.0
8612,57,212,2021-01-14,2021-01-14,13,41,1,31.93,0.0
4619,58,116,2021-01-14,2021-01-19,4,479,1,11.35,0.0
3669,59,93,2021-01-14,2021-01-23,4,571,1,11.35,2.27
4368,60,110,2021-01-14,2021-01-25,22,493,1,14.6,5.84
5005,61,126,2021-01-15,2021-01-28,39,87,1,2.47,1.48
15782,62,384,2021-01-15,2021-05-01,22,298,1,14.6,13.14
1343,63,34,2021-01-15,2021-01-22,1,305,1,10.97,0.0
14203,64,346,2021-01-15,2021-01-22,7,15,1,12.17,0.0
6221,65,155,2021-01-15,2021-01-15,13,344,1,31.93,0.0
5797,66,145,2021-01-15,2021-01-20,10,243,1,17.99,0.0
6896,67,172,2021-01-15,2021-01-20,40,473,1,6.87,0.0
6426,68,161,2021-01-15,2021-01-23,7,154,1,12.17,1.22
11817,69,289,2021-01-15,2021-01-17,41,382,1,1.92,0.0
11700,70,286,2021-01-15,2021-01-28,11,344,1,3.99,2.39
11532,71,282,2021-01-15,2021-01-15,39,472,1,2.47,0.0
16729,72,408,2021-01-15,2021-01-27,39,147,1,2.47,1.24
11126,73,272,2021-01-15,2021-01-15,10,339,1,17.99,0.0
16888,74,412,2021-01-15,2021-01-15,13,15,1,31.93,0.0
10355,75,254,2021-01-15,2021-01-27,36,127,1,12.35,6.18
10225,76,251,2021-01-15,2021-01-24,13,571,1,31.93,6.39
10021,77,246,2021-01-15,2021-02-24,24,473,1,12.58,2.52
9781,78,240,2021-01-15,2021-01-21,7,243,1,12.17,0.0
6354,79,159,2021-01-15,2021-01-15,5,571,1,9.33,0.0
17274,80,421,2021-01-15,2021-01-21,10,167,1,17.99,0.0
13271,81,325,2021-01-15,2021-01-26,22,147,1,14.6,5.84
7928,82,197,2021-01-15,2021-01-24,19,299,1,13.33,2.67
7793,83,194,2021-01-15,2021-01-15,1,147,1,10.97,0.0
7668,84,191,2021-01-15,2021-01-23,44,484,1,5.33,0.53
7408,85,185,2021-01-15,2021-01-19,39,167,1,2.47,0.0
20225,86,492,2021-01-15,2021-03-10,2,154,1,4.33,6.93
7369,87,184,2021-01-15,2021-01-15,13,382,1,31.93,0.0
1008,88,26,2021-01-15,2021-01-23,34,270,1,1.87,0.19
7216,89,180,2021-01-15,2021-01-24,19,378,1,13.33,2.67
13725,90,335,2021-01-15,2021-01-15,1,154,1,10.97,0.0
8072,91,200,2021-01-15,2021-03-02,1,299,1,10.97,8.78
4231,92,107,2021-01-15,2021-01-19,36,479,1,12.35,0.0
12086,93,296,2021-01-15,2021-01-24,33,114,1,10.6,2.12
15496,94,376,2021-01-15,2021-01-20,13,484,1,31.93,0.0
15234,95,369,2021-01-15,2021-01-22,1,344,1,10.97,0.0
2408,96,61,2021-01-15,2021-01-16,35,479,1,10.84,0.0
19708,97,480,2021-01-15,2021-01-21,20,167,1,7.53,0.0
60,98,2,2021-01-15,2021-01-22,39,485,1,2.47,0.0
14918,99,362,2021-01-15,2021-01-17,44,167,1,5.33,0.0
3158,100,81,2021-01-15,2021-01-19,13,472,1,31.93,0.0
19439,101,474,2021-01-15,2021-01-15,21,270,1,43.33,0.0
15138,102,367,2021-01-15,2021-01-15,40,299,1,6.87,0.0
19440,103,474,2021-01-15,2021-01-15,21,301,1,43.33,0.0
19863,104,484,2021-01-16,2021-01-16,13,154,1,31.93,0.0
16855,105,411,2021-01-16,2021-02-05,13,127,1,31.93,41.51
15266,106,370,2021-01-16,2021-01-19,46,430,1,1.71,0.0
12475,107,305,2021-01-16,2021-01-20,36,382,1,12.35,0.0
3862,108,98,2021-01-16,2021-01-18,26,473,1,23.33,0.0
18389,109,448,2021-01-16,2021-01-16,1,278,1,10.97,0.0
20303,110,494,2021-01-16,2021-01-22,9,556,1,27.33,0.0
10787,111,264,2021-01-16,2021-01-21,39,503,1,2.47,0.0
5291,112,133,2021-01-16,2021-01-22,8,154,1,11.99,0.0
9736,113,239,2021-01-16,2021-01-29,5,198,1,9.33,5.6
5377,114,135,2021-01-16,2021-01-16,32,243,1,7.71,0.0
10567,115,259,2021-01-16,2021-01-16,24,299,1,12.58,0.0
1088,116,28,2021-01-16,2021-01-25,32,270,1,7.71,1.54
6631,117,166,2021-01-16,2021-01-16,2,267,1,4.33,0.0
17234,118,420,2021-01-16,2021-01-16,29,493,1,19.27,0.0
16167,119,394,2021-01-16,2021-01-21,22,278,1,14.6,0.0
17497,120,427,2021-01-16,2021-01-16,39,179,1,2.47,0.0
3977,121,101,2021-01-16,2021-01-20,6,473,1,7.95,0.0
14563,122,354,2021-01-16,2021-02-02,10,493,1,17.99,17.99
13902,123,339,2021-01-16,2021-01-27,19,299,1,13.33,5.33
4188,124,106,2021-01-16,2021-01-20,40,473,1,6.87,0.0
12125,125,297,2021-01-16,2021-01-16,13,484,1,31.93,0.0
14605,126,355,2021-01-16,2021-01-16,4,143,1,11.35,0.0
11327,127,277,2021-01-16,2021-01-23,19,378,1,13.33,0.0
15048,128,365,2021-01-16,2021-01-18,22,503,1,14.6,0.0
17928,129,437,2021-01-16,2021-01-20,13,339,1,31.93,0.0
6097,130,152,2021-01-16,2021-01-16,9,143,1,27.33,0.0
2667,131,67,2021-01-16,2021-03-29,27,503,1,5.0,3.0
18340,132,447,2021-01-16,2021-01-27,44,103,1,5.33,2.13
13075,133,320,2021-01-16,2021-04-29,6,484,1,7.95,4.77
13362,134,327,2021-01-17,2021-01-25,42,472,1,8.0,0.8
8251,135,204,2021-01-17,2021-01-18,24,472,1,12.58,0.0
9846,136,242,2021-01-17,2021-01-30,35,197,1,10.84,6.5
14336,137,349,2021-01-17,2021-03-05,4,127,1,11.35,10.22
10106,138,248,2021-01-17,2021-03-03,13,441,1,31.93,22.35
710,139,19,2021-01-17,2021-01-17,4,359,1,11.35,0.0
4145,140,105,2021-01-17,2021-01-19,46,484,1,1.71,0.0
18545,141,452,2021-01-17,2021-01-17,36,344,1,12.35,0.0
610,142,16,2021-01-17,2021-02-15,13,15,1,31.93,70.25
2833,143,72,2021-01-17,2021-01-17,45,430,1,7.86,0.0
9573,144,235,2021-01-17,2021-02-09,7,35,1,12.17,19.47
18465,145,450,2021-01-17,2021-01-20,19,87,1,13.33,0.0
19397,146,473,2021-01-17,2021-01-28,22,485,1,14.6,5.84
8820,147,217,2021-01-17,2021-01-27,32,289,1,7.71,2.31
16575,148,404,2021-01-17,2021-01-17,4,114,1,11.35,0.0
809,149,21,2021-01-17,2021-01-18,38,267,1,15.99,0.0
4277,150,108,2021-01-17,2021-01-24,13,493,1,31.93,0.0
8960,151,220,2021-01-17,2021-01-17,10,376,1,17.99,0.0
20394,152,496,2021-01-17,2021-01-20,13,359,1,31.93,0.0
15462,153,375,2021-01-17,2021-01-28,2,503,1,4.33,1.73
19049,154,464,2021-01-17,2021-01-29,11,493,1,3.99,2.0
6524,155,163,2021-01-17,2021-01-28,22,571,1,14.6,5.84
7616,156,190,2021-01-17,2021-01-19,39,599,1,2.47,0.0
14433,157,351,2021-01-17,2021-01-20,22,441,1,14.6,0.0
10863,158,266,2021-01-17,2021-01-19,32,203,1,7.71,0.0
15593,159,379,2021-01-17,2021-01-22,18,472,1,4.17,0.0
12954,160,317,2021-01-17,2021-01-23,36,479,1,12.35,0.0
4026,161,102,2021-01-17,2021-03-14,32,493,1,7.71,13.88
302,162,8,2021-01-17,2021-01-20,29,114,1,19.27,0.0
1182,163,30,2021-01-17,2021-01-19,4,167,1,11.35,0.0
1269,164,32,2021-01-17,2021-01-18,32,179,1,7.71,0.0
8745,165,215,2021-01-17,2021-01-18,7,15,1,12.17,0.0
6473,166,162,2021-01-18,2021-02-16,32,87,1,7.71,16.96
1420,167,36,2021-01-18,2021-01-19,13,382,1,31.93,0.0
1645,168,41,2021-01-18,2021-01-18,10,179,1,17.99,0.0
